function,asize,aptr,rptr
malloc,32,,0x23a2c400
malloc,32,,0x23a2c450
malloc,32,,0x23a2c4a0
malloc,32,,0x23a2c4f0
malloc,32,,0x23a2c540
malloc,32,,0x23a2c590
malloc,32,,0x23a2c5e0
malloc,2048,,0x23a2c630
free,1024,0x23a2b820,
malloc,32,,0x23a2ce60
malloc,32,,0x23a2ce90
malloc,32,,0x23a2cee0
malloc,32,,0x23a2cf30
malloc,32,,0x23a2cf80
malloc,32,,0x23a2cfd0
malloc,32,,0x23a2d020
malloc,32,,0x23a2d070
malloc,32,,0x23a2d0c0
malloc,32,,0x23a2d110
malloc,32,,0x23a2d160
malloc,32,,0x23a2d1b0
malloc,32,,0x23a2d200
malloc,32,,0x23a2d250
malloc,32,,0x23a2d2a0
malloc,32,,0x23a2d2f0
malloc,32,,0x23a2d340
malloc,32,,0x23a2d390
malloc,32,,0x23a2d3e0
malloc,32,,0x23a2d430
malloc,32,,0x23a2d480
malloc,32,,0x23a2d4d0
malloc,32,,0x23a2d520
malloc,32,,0x23a2d570
malloc,32,,0x23a2d5c0
malloc,32,,0x23a2d610
malloc,32,,0x23a2d660
malloc,32,,0x23a2d6b0
malloc,32,,0x23a2d700
malloc,32,,0x23a2d750
malloc,32,,0x23a2d7a0
malloc,32,,0x23a2d7f0
malloc,32,,0x23a2d840
malloc,32,,0x23a2d890
malloc,32,,0x23a2d8e0
malloc,32,,0x23a2d930
malloc,32,,0x23a2d980
malloc,32,,0x23a2d9d0
malloc,32,,0x23a2da20
malloc,32,,0x23a2da70
malloc,32,,0x23a2dac0
malloc,32,,0x23a2db10
malloc,32,,0x23a2db60
malloc,32,,0x23a2dbb0
malloc,32,,0x23a2dc00
malloc,32,,0x23a2dc50
malloc,32,,0x23a2dca0
malloc,32,,0x23a2dcf0
malloc,32,,0x23a2dd40
malloc,32,,0x23a2dd90
malloc,32,,0x23a2dde0
malloc,32,,0x23a2de30
malloc,32,,0x23a2de80
malloc,32,,0x23a2ded0
malloc,32,,0x23a2df20
malloc,32,,0x23a2df70
malloc,32,,0x23a2dfc0
malloc,32,,0x23a2e010
malloc,32,,0x23a2e060
malloc,32,,0x23a2e0b0
malloc,32,,0x23a2e100
malloc,32,,0x23a2e150
malloc,32,,0x23a2e1a0
malloc,32,,0x23a2e1f0
malloc,4096,,0x23a2e240
free,2048,0x23a2c630,
malloc,32,,0x23a2c630
malloc,32,,0x23a2c660
malloc,32,,0x23a2c6b0
malloc,32,,0x23a2c700
malloc,32,,0x23a2c750
malloc,32,,0x23a2c7a0
malloc,32,,0x23a2c7f0
malloc,32,,0x23a2c840
malloc,32,,0x23a2c890
malloc,32,,0x23a2c8e0
malloc,32,,0x23a2c930
malloc,32,,0x23a2c980
malloc,32,,0x23a2c9d0
malloc,32,,0x23a2ca20
malloc,32,,0x23a2ca70
malloc,32,,0x23a2cac0
malloc,32,,0x23a2cb10
malloc,32,,0x23a2cb60
malloc,32,,0x23a2cbb0
malloc,32,,0x23a2cc00
malloc,32,,0x23a2cc50
malloc,32,,0x23a2cca0
malloc,32,,0x23a2ccf0
malloc,32,,0x23a2cd40
malloc,32,,0x23a2cd90
malloc,32,,0x23a2cde0
malloc,32,,0x23a2f270
malloc,32,,0x23a2f2c0
malloc,32,,0x23a2f310
malloc,32,,0x23a2f360
malloc,32,,0x23a2f3b0
malloc,32,,0x23a2f400
malloc,32,,0x23a2f450
malloc,32,,0x23a2f4a0
malloc,32,,0x23a2f4f0
malloc,32,,0x23a2f540
malloc,32,,0x23a2f590
malloc,32,,0x23a2f5e0
malloc,32,,0x23a2f630
malloc,32,,0x23a2f680
malloc,32,,0x23a2f6d0
malloc,32,,0x23a2f720
malloc,32,,0x23a2f770
malloc,32,,0x23a2f7c0
malloc,32,,0x23a2f810
malloc,32,,0x23a2f860
malloc,32,,0x23a2f8b0
malloc,32,,0x23a2f900
malloc,32,,0x23a2f950
malloc,32,,0x23a2f9a0
malloc,32,,0x23a2f9f0
malloc,32,,0x23a2fa40
malloc,32,,0x23a2fa90
malloc,32,,0x23a2fae0
malloc,32,,0x23a2fb30
malloc,32,,0x23a2fb80
malloc,32,,0x23a2fbd0
malloc,32,,0x23a2fc20
malloc,32,,0x23a2fc70
malloc,32,,0x23a2fcc0
malloc,32,,0x23a2fd10
malloc,32,,0x23a2fd60
malloc,32,,0x23a2fdb0
malloc,32,,0x23a2fe00
malloc,32,,0x23a2fe50
malloc,32,,0x23a2fea0
malloc,32,,0x23a2fef0
malloc,32,,0x23a2ff40
malloc,32,,0x23a2ff90
malloc,32,,0x23a2ffe0
malloc,32,,0x23a30030
malloc,32,,0x23a30080
malloc,32,,0x23a300d0
malloc,32,,0x23a30120
malloc,32,,0x23a30170
malloc,32,,0x23a301c0
malloc,32,,0x23a30210
malloc,32,,0x23a30260
malloc,32,,0x23a302b0
malloc,32,,0x23a30300
malloc,32,,0x23a30350
malloc,32,,0x23a303a0
malloc,32,,0x23a303f0
malloc,32,,0x23a30440
malloc,32,,0x23a30490
malloc,32,,0x23a304e0
malloc,32,,0x23a30530
malloc,32,,0x23a30580
malloc,32,,0x23a305d0
malloc,32,,0x23a30620
malloc,32,,0x23a30670
malloc,32,,0x23a306c0
malloc,32,,0x23a30710
malloc,32,,0x23a30760
malloc,32,,0x23a307b0
malloc,32,,0x23a30800
malloc,32,,0x23a30850
malloc,32,,0x23a308a0
malloc,32,,0x23a308f0
malloc,32,,0x23a30940
malloc,32,,0x23a30990
malloc,32,,0x23a309e0
malloc,32,,0x23a30a30
malloc,32,,0x23a30a80
malloc,32,,0x23a30ad0
malloc,32,,0x23a30b20
malloc,32,,0x23a30b70
malloc,32,,0x23a30bc0
malloc,32,,0x23a30c10
malloc,32,,0x23a30c60
malloc,32,,0x23a30cb0
malloc,32,,0x23a30d00
malloc,32,,0x23a30d50
malloc,32,,0x23a30da0
malloc,32,,0x23a30df0
malloc,32,,0x23a30e40
malloc,32,,0x23a30e90
malloc,32,,0x23a30ee0
malloc,32,,0x23a30f30
malloc,32,,0x23a30f80
malloc,32,,0x23a30fd0
malloc,32,,0x23a31020
malloc,32,,0x23a31070
malloc,32,,0x23a310c0
malloc,32,,0x23a31110
malloc,32,,0x23a31160
malloc,32,,0x23a311b0
malloc,32,,0x23a31200
malloc,8192,,0x23a31250
free,4096,0x23a2e240,
malloc,32,,0x23a2e240
malloc,32,,0x23a2e270
malloc,32,,0x23a2e2c0
malloc,32,,0x23a2e310
malloc,32,,0x23a2e360
malloc,32,,0x23a2e3b0
malloc,32,,0x23a2e400
malloc,32,,0x23a2e450
malloc,32,,0x23a2e4a0
malloc,32,,0x23a2e4f0
malloc,32,,0x23a2e540
malloc,32,,0x23a2e590
malloc,32,,0x23a2e5e0
malloc,32,,0x23a2e630
malloc,32,,0x23a2e680
malloc,32,,0x23a2e6d0
malloc,32,,0x23a2e720
malloc,32,,0x23a2e770
malloc,32,,0x23a2e7c0
malloc,32,,0x23a2e810
malloc,32,,0x23a2e860
malloc,32,,0x23a2e8b0
malloc,32,,0x23a2e900
malloc,32,,0x23a2e950
malloc,32,,0x23a2e9a0
malloc,32,,0x23a2e9f0
malloc,32,,0x23a2ea40
malloc,32,,0x23a2ea90
malloc,32,,0x23a2eae0
malloc,32,,0x23a2eb30
malloc,32,,0x23a2eb80
malloc,32,,0x23a2ebd0
malloc,32,,0x23a2ec20
malloc,32,,0x23a2ec70
malloc,32,,0x23a2ecc0
malloc,32,,0x23a2ed10
malloc,32,,0x23a2ed60
malloc,32,,0x23a2edb0
malloc,32,,0x23a2ee00
malloc,32,,0x23a2ee50
malloc,32,,0x23a2eea0
malloc,32,,0x23a2eef0
malloc,32,,0x23a2ef40
malloc,32,,0x23a2ef90
malloc,32,,0x23a2efe0
malloc,32,,0x23a2f030
malloc,32,,0x23a2f080
malloc,32,,0x23a2f0d0
malloc,32,,0x23a2f120
malloc,32,,0x23a2f170
malloc,32,,0x23a2f1c0
malloc,32,,0x23a2f210
malloc,32,,0x23a332a0
malloc,32,,0x23a332f0
malloc,32,,0x23a33340
malloc,32,,0x23a33390
malloc,32,,0x23a333e0
malloc,32,,0x23a33430
malloc,32,,0x23a33480
malloc,32,,0x23a334d0
malloc,32,,0x23a33520
malloc,32,,0x23a33570
malloc,32,,0x23a335c0
malloc,32,,0x23a33610
malloc,32,,0x23a33660
malloc,32,,0x23a336b0
malloc,32,,0x23a33700
malloc,32,,0x23a33750
malloc,32,,0x23a337a0
malloc,32,,0x23a337f0
malloc,32,,0x23a33840
malloc,32,,0x23a33890
malloc,32,,0x23a338e0
malloc,32,,0x23a33930
malloc,32,,0x23a33980
malloc,32,,0x23a339d0
malloc,32,,0x23a33a20
malloc,32,,0x23a33a70
malloc,32,,0x23a33ac0
malloc,32,,0x23a33b10
malloc,32,,0x23a33b60
malloc,32,,0x23a33bb0
malloc,32,,0x23a33c00
malloc,32,,0x23a33c50
malloc,32,,0x23a33ca0
malloc,32,,0x23a33cf0
malloc,32,,0x23a33d40
malloc,32,,0x23a33d90
malloc,32,,0x23a33de0
malloc,32,,0x23a33e30
malloc,32,,0x23a33e80
malloc,32,,0x23a33ed0
malloc,32,,0x23a33f20
malloc,32,,0x23a33f70
malloc,32,,0x23a33fc0
malloc,32,,0x23a34010
malloc,32,,0x23a34060
malloc,32,,0x23a340b0
malloc,32,,0x23a34100
malloc,32,,0x23a34150
malloc,32,,0x23a341a0
malloc,32,,0x23a341f0
malloc,32,,0x23a34240
malloc,32,,0x23a34290
malloc,32,,0x23a342e0
malloc,32,,0x23a34330
malloc,32,,0x23a34380
malloc,32,,0x23a343d0
malloc,32,,0x23a34420
malloc,32,,0x23a34470
malloc,32,,0x23a344c0
malloc,32,,0x23a34510
malloc,32,,0x23a34560
malloc,32,,0x23a345b0
malloc,32,,0x23a34600
malloc,32,,0x23a34650
malloc,32,,0x23a346a0
malloc,32,,0x23a346f0
malloc,32,,0x23a34740
malloc,32,,0x23a34790
malloc,32,,0x23a347e0
malloc,32,,0x23a34830
malloc,32,,0x23a34880
malloc,32,,0x23a348d0
malloc,32,,0x23a34920
malloc,32,,0x23a34970
malloc,32,,0x23a349c0
malloc,32,,0x23a34a10
malloc,32,,0x23a34a60
malloc,32,,0x23a34ab0
malloc,32,,0x23a34b00
malloc,32,,0x23a34b50
malloc,32,,0x23a34ba0
malloc,32,,0x23a34bf0
malloc,32,,0x23a34c40
malloc,32,,0x23a34c90
malloc,32,,0x23a34ce0
malloc,32,,0x23a34d30
malloc,32,,0x23a34d80
malloc,32,,0x23a34dd0
malloc,32,,0x23a34e20
malloc,32,,0x23a34e70
malloc,32,,0x23a34ec0
malloc,32,,0x23a34f10
malloc,32,,0x23a34f60
malloc,32,,0x23a34fb0
malloc,32,,0x23a35000
malloc,32,,0x23a35050
malloc,32,,0x23a350a0
malloc,32,,0x23a350f0
malloc,32,,0x23a35140
malloc,32,,0x23a35190
malloc,32,,0x23a351e0
malloc,32,,0x23a35230
malloc,32,,0x23a35280
malloc,32,,0x23a352d0
malloc,32,,0x23a35320
malloc,32,,0x23a35370
malloc,32,,0x23a353c0
malloc,32,,0x23a35410
malloc,32,,0x23a35460
malloc,32,,0x23a354b0
malloc,32,,0x23a35500
malloc,32,,0x23a35550
malloc,32,,0x23a355a0
malloc,32,,0x23a355f0
malloc,32,,0x23a35640
malloc,32,,0x23a35690
malloc,32,,0x23a356e0
malloc,32,,0x23a35730
malloc,32,,0x23a35780
malloc,32,,0x23a357d0
malloc,32,,0x23a35820
malloc,32,,0x23a35870
malloc,32,,0x23a358c0
malloc,32,,0x23a35910
malloc,32,,0x23a35960
malloc,32,,0x23a359b0
malloc,32,,0x23a35a00
malloc,32,,0x23a35a50
malloc,32,,0x23a35aa0
malloc,32,,0x23a35af0
malloc,32,,0x23a35b40
malloc,32,,0x23a35b90
malloc,32,,0x23a35be0
malloc,32,,0x23a35c30
malloc,32,,0x23a35c80
malloc,32,,0x23a35cd0
malloc,32,,0x23a35d20
malloc,32,,0x23a35d70
malloc,32,,0x23a35dc0
malloc,32,,0x23a35e10
malloc,32,,0x23a35e60
malloc,32,,0x23a35eb0
malloc,32,,0x23a35f00
malloc,32,,0x23a35f50
malloc,32,,0x23a35fa0
malloc,32,,0x23a35ff0
malloc,32,,0x23a36040
malloc,32,,0x23a36090
malloc,32,,0x23a360e0
malloc,32,,0x23a36130
malloc,32,,0x23a36180
malloc,32,,0x23a361d0
malloc,32,,0x23a36220
malloc,32,,0x23a36270
malloc,32,,0x23a362c0
malloc,32,,0x23a36310
malloc,32,,0x23a36360
malloc,32,,0x23a363b0
malloc,32,,0x23a36400
malloc,32,,0x23a36450
